EmployeeID,DisplayName,SamAccountName,UserPrincipalName,Department,Title,Manager,Office,OU,Enabled,Status,HomeDirectory,ProfilePath,PrimaryGroup
E1001,Avery Adams,aadams1,aadams1@contoso.local,IT,Help Desk Technician,Marcus Reed,IT-101,"OU=IT,OU=Corporate,DC=corp,DC=contoso,DC=local",True,Active,\\FS01\Home\aadams1,\\FS01\Profiles\aadams1,GG_IT_Users
E1002,Jordan Davis,jdavis2,jdavis2@contoso.local,HR,HR Generalist,Alicia Grant,HR-102,"OU=HR,OU=Corporate,DC=corp,DC=contoso,DC=local",True,Active,\\FS01\Home\jdavis2,\\FS01\Profiles\jdavis2,GG_HR_Users
E1003,Taylor Green,tgreen3,tgreen3@contoso.local,Finance,Payroll Analyst,Denise Porter,FI-103,"OU=Finance,OU=Corporate,DC=corp,DC=contoso,DC=local",True,Active,\\FS01\Home\tgreen3,\\FS01\Profiles\tgreen3,GG_Finance_Users
E1004,Morgan Johnson,mjohnson4,mjohnson4@contoso.local,Sales,Account Executive,Brandon Cole,SA-104,"OU=Sales,OU=Corporate,DC=corp,DC=contoso,DC=local",True,Active,\\FS01\Home\mjohnson4,\\FS01\Profiles\mjohnson4,GG_Sales_Users
E1005,Cameron Moore,cmoore5,cmoore5@contoso.local,Operations,Logistics Analyst,Tanya Brooks,OP-105,"OU=Operations,OU=Corporate,DC=corp,DC=contoso,DC=local",True,Active,\\FS01\Home\cmoore5,\\FS01\Profiles\cmoore5,GG_Operations_Users
E1006,Riley Adams,radams6,radams6@contoso.local,IT,IT Support Analyst,Marcus Reed,IT-106,"OU=IT,OU=Corporate,DC=corp,DC=contoso,DC=local",True,Active,\\FS01\Home\radams6,\\FS01\Profiles\radams6,GG_IT_Users
E1007,Casey Davis,cdavis7,cdavis7@contoso.local,HR,HR Coordinator,Alicia Grant,HR-107,"OU=HR,OU=Corporate,DC=corp,DC=contoso,DC=local",True,Active,\\FS01\Home\cdavis7,\\FS01\Profiles\cdavis7,GG_HR_Users
E1008,Parker Green,pgreen8,pgreen8@contoso.local,Finance,Accounts Payable Specialist,Denise Porter,FI-108,"OU=Finance,OU=Corporate,DC=corp,DC=contoso,DC=local",True,Active,\\FS01\Home\pgreen8,\\FS01\Profiles\pgreen8,GG_Finance_Users
E1009,Quinn Johnson,qjohnson9,qjohnson9@contoso.local,Sales,Sales Representative,Brandon Cole,SA-109,"OU=Sales,OU=Corporate,DC=corp,DC=contoso,DC=local",True,Active,\\FS01\Home\qjohnson9,\\FS01\Profiles\qjohnson9,GG_Sales_Users
E1010,Hayden Moore,hmoore10,hmoore10@contoso.local,Operations,Operations Coordinator,Tanya Brooks,OP-110,"OU=Operations,OU=Corporate,DC=corp,DC=contoso,DC=local",True,Active,\\FS01\Home\hmoore10,\\FS01\Profiles\hmoore10,GG_Operations_Users
E1011,Reese Adams,radams11,radams11@contoso.local,IT,Systems Administrator,Marcus Reed,IT-111,"OU=IT,OU=Corporate,DC=corp,DC=contoso,DC=local",True,Active,\\FS01\Home\radams11,\\FS01\Profiles\radams11,GG_IT_Users
E1012,Skyler Davis,sdavis12,sdavis12@contoso.local,HR,Recruiting Specialist,Alicia Grant,HR-112,"OU=HR,OU=Corporate,DC=corp,DC=contoso,DC=local",True,Active,\\FS01\Home\sdavis12,\\FS01\Profiles\sdavis12,GG_HR_Users
E1013,Logan Green,lgreen13,lgreen13@contoso.local,Finance,Financial Analyst,Denise Porter,FI-101,"OU=Finance,OU=Corporate,DC=corp,DC=contoso,DC=local",True,Active,\\FS01\Home\lgreen13,\\FS01\Profiles\lgreen13,GG_Finance_Users
E1014,Drew Johnson,djohnson14,djohnson14@contoso.local,Sales,Sales Operations Analyst,Brandon Cole,SA-102,"OU=Sales,OU=Corporate,DC=corp,DC=contoso,DC=local",True,Active,\\FS01\Home\djohnson14,\\FS01\Profiles\djohnson14,GG_Sales_Users
E1015,Bailey Moore,bmoore15,bmoore15@contoso.local,Operations,Operations Specialist,Tanya Brooks,OP-103,"OU=Operations,OU=Corporate,DC=corp,DC=contoso,DC=local",True,Active,\\FS01\Home\bmoore15,\\FS01\Profiles\bmoore15,GG_Operations_Users
E1016,Avery Adams,aadams16,aadams16@contoso.local,IT,Help Desk Technician,Marcus Reed,IT-104,"OU=IT,OU=Corporate,DC=corp,DC=contoso,DC=local",True,Active,\\FS01\Home\aadams16,\\FS01\Profiles\aadams16,GG_IT_Users
E1017,Jordan Davis,jdavis17,jdavis17@contoso.local,HR,HR Generalist,Alicia Grant,HR-105,"OU=HR,OU=Corporate,DC=corp,DC=contoso,DC=local",True,Active,\\FS01\Home\jdavis17,\\FS01\Profiles\jdavis17,GG_HR_Users
E1018,Taylor Green,tgreen18,tgreen18@contoso.local,Finance,Payroll Analyst,Denise Porter,FI-106,"OU=Finance,OU=Corporate,DC=corp,DC=contoso,DC=local",True,Active,\\FS01\Home\tgreen18,\\FS01\Profiles\tgreen18,GG_Finance_Users
E1019,Morgan Johnson,mjohnson19,mjohnson19@contoso.local,Sales,Account Executive,Brandon Cole,SA-107,"OU=Sales,OU=Corporate,DC=corp,DC=contoso,DC=local",True,Active,\\FS01\Home\mjohnson19,\\FS01\Profiles\mjohnson19,GG_Sales_Users
E1020,Cameron Moore,cmoore20,cmoore20@contoso.local,Operations,Logistics Analyst,Tanya Brooks,OP-108,"OU=Operations,OU=Corporate,DC=corp,DC=contoso,DC=local",True,Active,\\FS01\Home\cmoore20,\\FS01\Profiles\cmoore20,GG_Operations_Users
E1021,Riley Adams,radams21,radams21@contoso.local,IT,IT Support Analyst,Marcus Reed,IT-109,"OU=IT,OU=Corporate,DC=corp,DC=contoso,DC=local",True,Active,\\FS01\Home\radams21,\\FS01\Profiles\radams21,GG_IT_Users
E1022,Casey Davis,cdavis22,cdavis22@contoso.local,HR,HR Coordinator,Alicia Grant,HR-110,"OU=HR,OU=Corporate,DC=corp,DC=contoso,DC=local",True,Active,\\FS01\Home\cdavis22,\\FS01\Profiles\cdavis22,GG_HR_Users
E1023,Parker Green,pgreen23,pgreen23@contoso.local,Finance,Accounts Payable Specialist,Denise Porter,FI-111,"OU=Finance,OU=Corporate,DC=corp,DC=contoso,DC=local",True,Active,\\FS01\Home\pgreen23,\\FS01\Profiles\pgreen23,GG_Finance_Users
E1024,Quinn Johnson,qjohnson24,qjohnson24@contoso.local,Sales,Sales Representative,Brandon Cole,SA-112,"OU=Sales,OU=Corporate,DC=corp,DC=contoso,DC=local",True,Active,\\FS01\Home\qjohnson24,\\FS01\Profiles\qjohnson24,GG_Sales_Users
E1025,Hayden Moore,hmoore25,hmoore25@contoso.local,Operations,Operations Coordinator,Tanya Brooks,OP-101,"OU=Operations,OU=Corporate,DC=corp,DC=contoso,DC=local",True,Active,\\FS01\Home\hmoore25,\\FS01\Profiles\hmoore25,GG_Operations_Users
E1026,Reese Adams,radams26,radams26@contoso.local,IT,Systems Administrator,Marcus Reed,IT-102,"OU=IT,OU=Corporate,DC=corp,DC=contoso,DC=local",True,Active,\\FS01\Home\radams26,\\FS01\Profiles\radams26,GG_IT_Users
E1027,Skyler Davis,sdavis27,sdavis27@contoso.local,HR,Recruiting Specialist,Alicia Grant,HR-103,"OU=HR,OU=Corporate,DC=corp,DC=contoso,DC=local",True,Active,\\FS01\Home\sdavis27,\\FS01\Profiles\sdavis27,GG_HR_Users
E1028,Logan Green,lgreen28,lgreen28@contoso.local,Finance,Financial Analyst,Denise Porter,FI-104,"OU=Finance,OU=Corporate,DC=corp,DC=contoso,DC=local",True,Active,\\FS01\Home\lgreen28,\\FS01\Profiles\lgreen28,GG_Finance_Users
E1029,Drew Johnson,djohnson29,djohnson29@contoso.local,Sales,Sales Operations Analyst,Brandon Cole,SA-105,"OU=Sales,OU=Corporate,DC=corp,DC=contoso,DC=local",True,Active,\\FS01\Home\djohnson29,\\FS01\Profiles\djohnson29,GG_Sales_Users
E1030,Bailey Moore,bmoore30,bmoore30@contoso.local,Operations,Operations Specialist,Tanya Brooks,OP-106,"OU=Operations,OU=Corporate,DC=corp,DC=contoso,DC=local",True,Active,\\FS01\Home\bmoore30,\\FS01\Profiles\bmoore30,GG_Operations_Users
E1031,Avery Adams,aadams31,aadams31@contoso.local,IT,Help Desk Technician,Marcus Reed,IT-107,"OU=IT,OU=Corporate,DC=corp,DC=contoso,DC=local",True,Active,\\FS01\Home\aadams31,\\FS01\Profiles\aadams31,GG_IT_Users
E1032,Jordan Davis,jdavis32,jdavis32@contoso.local,HR,HR Generalist,Alicia Grant,HR-108,"OU=HR,OU=Corporate,DC=corp,DC=contoso,DC=local",True,Active,\\FS01\Home\jdavis32,\\FS01\Profiles\jdavis32,GG_HR_Users
E1033,Taylor Green,tgreen33,tgreen33@contoso.local,Finance,Payroll Analyst,Denise Porter,FI-109,"OU=Finance,OU=Corporate,DC=corp,DC=contoso,DC=local",True,Active,\\FS01\Home\tgreen33,\\FS01\Profiles\tgreen33,GG_Finance_Users
E1034,Morgan Johnson,mjohnson34,mjohnson34@contoso.local,Sales,Account Executive,Brandon Cole,SA-110,"OU=Sales,OU=Corporate,DC=corp,DC=contoso,DC=local",True,Active,\\FS01\Home\mjohnson34,\\FS01\Profiles\mjohnson34,GG_Sales_Users
E1035,Cameron Moore,cmoore35,cmoore35@contoso.local,Operations,Logistics Analyst,Tanya Brooks,OP-111,"OU=Operations,OU=Corporate,DC=corp,DC=contoso,DC=local",True,Active,\\FS01\Home\cmoore35,\\FS01\Profiles\cmoore35,GG_Operations_Users
E1036,Riley Adams,radams36,radams36@contoso.local,IT,IT Support Analyst,Marcus Reed,IT-112,"OU=IT,OU=Corporate,DC=corp,DC=contoso,DC=local",True,Active,\\FS01\Home\radams36,\\FS01\Profiles\radams36,GG_IT_Users
E1037,Casey Davis,cdavis37,cdavis37@contoso.local,HR,HR Coordinator,Alicia Grant,HR-101,"OU=HR,OU=Corporate,DC=corp,DC=contoso,DC=local",True,Active,\\FS01\Home\cdavis37,\\FS01\Profiles\cdavis37,GG_HR_Users
E1038,Parker Green,pgreen38,pgreen38@contoso.local,Finance,Accounts Payable Specialist,Denise Porter,FI-102,"OU=Finance,OU=Corporate,DC=corp,DC=contoso,DC=local",True,Active,\\FS01\Home\pgreen38,\\FS01\Profiles\pgreen38,GG_Finance_Users
E1039,Quinn Johnson,qjohnson39,qjohnson39@contoso.local,Sales,Sales Representative,Brandon Cole,SA-103,"OU=Sales,OU=Corporate,DC=corp,DC=contoso,DC=local",True,Active,\\FS01\Home\qjohnson39,\\FS01\Profiles\qjohnson39,GG_Sales_Users
E1040,Hayden Moore,hmoore40,hmoore40@contoso.local,Operations,Operations Coordinator,Tanya Brooks,OP-104,"OU=Operations,OU=Corporate,DC=corp,DC=contoso,DC=local",True,Active,\\FS01\Home\hmoore40,\\FS01\Profiles\hmoore40,GG_Operations_Users
E1041,Reese Adams,radams41,radams41@contoso.local,IT,Systems Administrator,Marcus Reed,IT-105,"OU=IT,OU=Corporate,DC=corp,DC=contoso,DC=local",True,Active,\\FS01\Home\radams41,\\FS01\Profiles\radams41,GG_IT_Users
E1042,Skyler Davis,sdavis42,sdavis42@contoso.local,HR,Recruiting Specialist,Alicia Grant,HR-106,"OU=HR,OU=Corporate,DC=corp,DC=contoso,DC=local",True,Active,\\FS01\Home\sdavis42,\\FS01\Profiles\sdavis42,GG_HR_Users
E1043,Logan Green,lgreen43,lgreen43@contoso.local,Finance,Financial Analyst,Denise Porter,FI-107,"OU=Finance,OU=Corporate,DC=corp,DC=contoso,DC=local",True,Active,\\FS01\Home\lgreen43,\\FS01\Profiles\lgreen43,GG_Finance_Users
