EmployeeID,FirstName,LastName,SamAccountName,UPN,Department,Title,Manager,Status,Device
CTS001,Avery,Brooks,abrooks1,abrooks1@cts-lab.local,Executive,Director,executive.manager,Enabled,LAP-EXE-001
CTS002,Jordan,Ellis,jellis2,jellis2@cts-lab.local,Executive,Director,executive.manager,Enabled,LAP-EXE-002
CTS003,Morgan,Reed,mreed3,mreed3@cts-lab.local,Executive,Director,executive.manager,Enabled,LAP-EXE-003
CTS004,Taylor,Price,tprice4,tprice4@cts-lab.local,Executive,Director,executive.manager,Enabled,LAP-EXE-004
CTS005,Casey,Brooks,cbrooks5,cbrooks5@cts-lab.local,IT,IT Support Specialist,jamie.christian,Enabled,LAP-IT-005
CTS006,Riley,Ellis,rellis6,rellis6@cts-lab.local,IT,IT Support Specialist,jamie.christian,Enabled,LAP-IT-006
CTS007,Cameron,Reed,creed7,creed7@cts-lab.local,IT,IT Support Specialist,jamie.christian,Enabled,LAP-IT-007
CTS008,Parker,Price,pprice8,pprice8@cts-lab.local,IT,IT Support Specialist,jamie.christian,Enabled,LAP-IT-008
CTS009,Quinn,Morgan,qmorgan9,qmorgan9@cts-lab.local,IT,IT Support Specialist,jamie.christian,Enabled,LAP-IT-009
CTS010,Drew,Bennett,dbennett10,dbennett10@cts-lab.local,IT,IT Support Specialist,jamie.christian,Enabled,LAP-IT-010
CTS011,Skyler,Foster,sfoster11,sfoster11@cts-lab.local,IT,IT Support Specialist,jamie.christian,Enabled,LAP-IT-011
CTS012,Reese,Hayes,rhayes12,rhayes12@cts-lab.local,IT,IT Support Specialist,jamie.christian,Enabled,LAP-IT-012
CTS013,Emerson,Brooks,ebrooks13,ebrooks13@cts-lab.local,Finance,Financial Analyst,finance.manager,Enabled,LAP-FIN-013
CTS014,Rowan,Ellis,rellis14,rellis14@cts-lab.local,Finance,Financial Analyst,finance.manager,Enabled,LAP-FIN-014
CTS015,Finley,Reed,freed15,freed15@cts-lab.local,Finance,Financial Analyst,finance.manager,Enabled,LAP-FIN-015
CTS016,Avery,Morgan,amorgan16,amorgan16@cts-lab.local,Finance,Financial Analyst,finance.manager,Enabled,LAP-FIN-016
CTS017,Jordan,Bennett,jbennett17,jbennett17@cts-lab.local,Finance,Financial Analyst,finance.manager,Enabled,LAP-FIN-017
CTS018,Morgan,Foster,mfoster18,mfoster18@cts-lab.local,Finance,Financial Analyst,finance.manager,Enabled,LAP-FIN-018
CTS019,Taylor,Hayes,thayes19,thayes19@cts-lab.local,Finance,Financial Analyst,finance.manager,Enabled,LAP-FIN-019
CTS020,Casey,Bailey,cbailey20,cbailey20@cts-lab.local,Finance,Financial Analyst,finance.manager,Enabled,LAP-FIN-020
CTS021,Riley,Simmons,rsimmons21,rsimmons21@cts-lab.local,Finance,Financial Analyst,finance.manager,Enabled,LAP-FIN-021
CTS022,Cameron,Ellis,cellis22,cellis22@cts-lab.local,Human Resources,HR Coordinator,human.manager,Disabled,LAP-HUM-022
CTS023,Parker,Reed,preed23,preed23@cts-lab.local,Human Resources,HR Coordinator,human.manager,Enabled,LAP-HUM-023
CTS024,Quinn,Price,qprice24,qprice24@cts-lab.local,Human Resources,HR Coordinator,human.manager,Enabled,LAP-HUM-024
CTS025,Drew,Morgan,dmorgan25,dmorgan25@cts-lab.local,Human Resources,HR Coordinator,human.manager,Enabled,LAP-HUM-025
CTS026,Skyler,Bennett,sbennett26,sbennett26@cts-lab.local,Human Resources,HR Coordinator,human.manager,Enabled,LAP-HUM-026
