user_id,user_principal_name,department,job_title,account_status,active_flag,mfa_registered,mfa_gap_flag,group_count,last_sign_in_date,m365_license,privilege_review_needed
USR-0001,user001@northstar.example,Security,Manager,Active,1,1,0,5,2025-07-17,E3,0
USR-0002,user002@northstar.example,Hr,Manager,Active,1,1,0,7,2025-10-05,E3,0
USR-0003,user003@northstar.example,Operations,Specialist,Active,1,1,0,16,2026-04-06,F3,1
USR-0004,user004@northstar.example,Executive,Director,Active,1,1,0,4,2025-02-18,F3,0
USR-0005,user005@northstar.example,Sales,Director,Active,1,1,0,13,2025-03-25,E5,0
USR-0006,user006@northstar.example,Finance,Coordinator,Active,1,1,0,3,2025-08-23,F3,0
USR-0007,user007@northstar.example,Security,Analyst,Active,1,1,0,10,2025-06-07,E5,0
USR-0008,user008@northstar.example,Executive,Engineer,Active,1,1,0,6,2026-01-26,F3,0
USR-0009,user009@northstar.example,It,Coordinator,Active,1,1,0,8,2025-07-05,E3,0
USR-0010,user010@northstar.example,Hr,Director,Active,1,1,0,7,2025-06-12,F3,0
USR-0011,user011@northstar.example,Executive,Analyst,Active,1,1,0,17,2025-01-01,E3,1
USR-0012,user012@northstar.example,Executive,Manager,Active,1,1,0,9,2025-09-29,F3,0
USR-0013,user013@northstar.example,Hr,Coordinator,Active,1,1,0,2,2025-01-13,F3,0
USR-0014,user014@northstar.example,It,Manager,Active,1,1,0,3,2025-05-20,E5,0
USR-0015,user015@northstar.example,Sales,Manager,Active,1,1,0,11,2025-07-03,F3,0
USR-0016,user016@northstar.example,Sales,Manager,Active,1,1,0,5,2025-07-03,E3,0
USR-0017,user017@northstar.example,Executive,Manager,Active,1,1,0,7,2025-02-18,E5,0
USR-0018,user018@northstar.example,Hr,Director,Active,1,1,0,12,2025-04-03,Business Premium,0
USR-0019,user019@northstar.example,Hr,Coordinator,Active,1,1,0,12,2026-04-22,E3,0
USR-0020,user020@northstar.example,It,Engineer,Active,1,1,0,16,2025-09-09,E3,1
USR-0021,user021@northstar.example,Hr,Engineer,Active,1,1,0,1,2025-07-14,Business Premium,0
USR-0022,user022@northstar.example,Hr,Engineer,Active,1,1,0,5,2025-09-06,Business Premium,0
USR-0023,user023@northstar.example,Security,Manager,Active,1,1,0,10,2026-07-09,E5,0
USR-0024,user024@northstar.example,Finance,Engineer,Active,1,1,0,13,2025-03-25,E3,0
USR-0025,user025@northstar.example,Sales,Coordinator,Active,1,1,0,15,2025-05-18,Business Premium,1
USR-0026,user026@northstar.example,Hr,Coordinator,Active,1,1,0,18,2025-03-27,E3,1
USR-0027,user027@northstar.example,Hr,Specialist,Active,1,1,0,13,2025-05-09,F3,0
USR-0028,user028@northstar.example,Sales,Specialist,Active,1,1,0,12,2025-05-01,E3,0
USR-0029,user029@northstar.example,Security,Director,Active,1,1,0,17,2026-02-22,E5,1
USR-0030,user030@northstar.example,Executive,Coordinator,Active,1,1,0,7,2025-04-21,E3,0
USR-0031,user031@northstar.example,Security,Engineer,Active,1,1,0,12,2025-06-24,Business Premium,0
USR-0032,user032@northstar.example,Operations,Coordinator,Active,1,1,0,4,2025-03-01,Business Premium,0
USR-0033,user033@northstar.example,Hr,Director,Active,1,1,0,3,2025-09-14,F3,0
USR-0034,user034@northstar.example,Sales,Manager,Active,1,1,0,15,2026-07-30,E5,1
USR-0035,user035@northstar.example,Sales,Specialist,Active,1,1,0,13,2026-07-02,F3,0
USR-0036,user036@northstar.example,Operations,Manager,Active,1,1,0,17,2025-04-01,E3,1
USR-0037,user037@northstar.example,Finance,Coordinator,Active,1,1,0,1,2025-10-19,E3,0
USR-0038,user038@northstar.example,Executive,Director,Active,1,1,0,9,2026-03-02,F3,0
USR-0039,user039@northstar.example,Sales,Engineer,Active,1,0,1,2,2025-04-07,E3,0
USR-0040,user040@northstar.example,It,Engineer,Active,1,1,0,17,2025-08-29,E3,1
USR-0041,user041@northstar.example,Hr,Coordinator,Active,1,1,0,11,2025-07-02,E5,0
USR-0042,user042@northstar.example,Finance,Coordinator,Active,1,1,0,15,2025-05-24,Business Premium,1
USR-0043,user043@northstar.example,Executive,Engineer,Active,1,1,0,16,2025-04-10,E5,1
USR-0044,user044@northstar.example,Hr,Specialist,Disabled,0,1,0,13,2026-07-05,E5,0
USR-0045,user045@northstar.example,Sales,Director,Active,1,1,0,11,2025-05-28,Business Premium,0
USR-0046,user046@northstar.example,Executive,Director,Active,1,1,0,8,2025-06-19,E5,0
USR-0047,user047@northstar.example,Finance,Specialist,Active,1,1,0,13,2025-05-13,F3,0
USR-0048,user048@northstar.example,Finance,Analyst,Active,1,1,0,13,2025-11-05,E5,0
USR-0049,user049@northstar.example,Sales,Manager,Active,1,1,0,13,2025-10-10,E3,0
USR-0050,user050@northstar.example,Security,Manager,Active,1,1,0,10,2025-02-14,E5,0
USR-0051,user051@northstar.example,Sales,Specialist,Active,1,1,0,12,2026-05-14,E3,0
USR-0052,user052@northstar.example,Sales,Coordinator,Active,1,1,0,6,2025-10-21,F3,0
USR-0053,user053@northstar.example,Hr,Analyst,Active,1,1,0,6,2026-05-05,E3,0
USR-0054,user054@northstar.example,Security,Coordinator,Active,1,1,0,5,2025-09-08,E5,0
USR-0055,user055@northstar.example,It,Manager,Active,1,1,0,16,2025-04-06,F3,1
USR-0056,user056@northstar.example,It,Specialist,Active,1,1,0,15,2025-07-25,Business Premium,1
USR-0057,user057@northstar.example,Sales,Specialist,Active,1,1,0,5,2025-12-14,E3,0
USR-0058,user058@northstar.example,Hr,Director,Active,1,1,0,18,2026-06-17,E5,1
